"1","安安你好"
"2","最近過的好嗎"
"3","別怕"
"4","就只是個超人"
"5","沒什麼大不了的"
"6","下雨"
"7","從來都不是停止練習的藉口"
"8","到貨了"
"9","然後我們一個晚上就把它弄壞了"
"10","雖然買之前就知道"
"11","實際拿到以後"
"12","主要目標是"
"13","很怕像橡皮筋一樣"
"14","短時間可能還可以"
"15","可是要長達十小時就不行了"
"16","不會因此滑倒"
"17","昨天晚上試用"
"18","效果算是很不錯"
"19","家中防滑"
"20","但是書店沒貨"
"21","所以就上網訂了"
"22","家中的地板露氣重"
"23","這幾天因為氣溫低"
"24","光是昨晚就已經滑倒三次"
"25","從廚房門口走出來"
"26","從電腦房門口走出來"
"27","它的腳爪整天都在滑倒"
"28","地上有水"
"29","當時正在拖地"
"30","還好我們不在家的時候，它都在睡覺"
"31","沒發生過這種事情"
"32","肯定骨折或需要開刀"
"33","我想要五點再來光華商場"
"34","人生就是一個人的生活"
"35","就是一個人的生活"
"36","不會生活，你就沒有人生"
"37","你沒有人生"
"38","我不是流浪，而是以天地為家"
"39","以天地為家"
"40","你昨天吃什麼？"
"41","有吃飽嗎？"
"42","這麼閒"
"43","浪費時間"
"44","還不快點去"
"45","沒看過這麼弱的天才"
"46","原來是個擅長挖坑的朋友呀"
"47","你好"
"48","又是令人瑟瑟發抖的一天"
"49","所以就是個工具人嘛"
"50","相信我，這肯定有前途"
"51","這肯定有前途"
"52","有資料才有資料科學"
"53","資料科學"
"54","又是ㄧ個付費的全民公測"
"55","我好興奮啊！"
"56","再忙，也要陪你一起加班！"
"57","也要陪你一起加班"
"58","幸福"
"59","不過就是有及時完成夢想的能力"
"60","人生嘛，何必呢"
"61","何必呢"
"62","為什麼這麼急著抵達終點？"
"63","小魯一想到可以被噓就好興奮歐"
"64","趕快來吃"
"65","想佔有的東西就是想佔有"
"66","你站在那再久也不會是你的"
"67","簡單來說"
"68","你本來就是他的獵物"
"69","他就想佔有呀"
"70","你要牛吃肉"
"71","應該做自己想做的事"
"72","轉移自己的注意力"
"73","而不是去做天下所有事"
"74","每天來點負能量就是爽"
"75","請你穿越這片稻田"
"76","去摘一株最大最金黃的麥穗"
"77","但是有個規則"
"78","你不能走回頭路"
"79","而且你只能摘一次"
"80","他怎麽空手回來了？"
"81","當我走在田間的時候"
"82","看到過幾株特別大特別燦爛的麥穗"
"83","我總想著前面也許會有更好的"
"84","於是就沒有摘"
"85","我繼續走的時候"
"86","看到的麥穗"
"87","總覺得還不如先前看到的好"
"88","所以我最後什麽都沒有摘到"
"89","會激起他的佔有慾"
"90","落井下石非英雄"
"91","前人的足跡"
"92","保存著他們的記憶"
"93","是他們的瑰寶"
"94","是我們的指標"
"95","看著外婆慈祥的笑容"
"96","就像冬天的陽光"
"97","因為居住在不同縣市"
"98","一年見面的次數不到十次"
"99","每次見面都笑得像孩子般"
"100","乖孫啊"
"101","還記得有次年假"
"102","一起準備了晚餐"
"103","餐桌上有一道肉非常好吃"
"104","鹹度適中又帶點微甘"
"105","隔天早起"
"106","外婆坐在廚房的門邊"
"107","外婆和媽媽"
"108","阿嬤妳在做什麼"
"109","準備中午要煮的菜"
"110","阿嬤"
"111","昨天那個肉燥好好吃喔"
"112","聽了笑得更開心了"
"113","餐桌上有滿滿一大鍋肉燥"
"114","全部人都吃飽後還剩不少"
"115","媽媽因為太冷就自己關機了"
"116","準備太多啦"
"117","剩這麼多"
"118","不會啦！"
"119","晚上還能吃啊"
"120","一旁的我"
"121","她微胖身軀漸漸行動不便"
